Date,Party to whom granted ,Total,Adultery,Unreasonable behaviour,Desertion,2 Year Separation,5 Year Separation,Combination
2016,Husband,41502,4429,15020,292,13570,7968,223
2016,Wife,65100,7543,33191,345,15560,8060,401
2015,Husband,38325,4475,14179,291,12069,7130,181
2015,Wife   ,62360,7673,32636,426,14124,7113,388
2014,Husband,41260,5118,15630,316,12969,7029,198
2014,Wife   ,69689,8932,36908,478,15742,7278,351
2013,Husband,40538,5263,15332,308,12750,6871,14
2013,Wife   ,73976,9907,39879,454,16304,7380,52
2012,Husband,41542,5675,15210,334,13237,7047,39
2012,Wife   ,76400,10320,41248,385,16973,7231,243
2011,Husband,40369,6173,14597,216,13046,6319,18
2011,Wife   ,77016,11129,41835,319,16773,6801,159
2010,Husband,40301,6595,14516,214,12897,6016,63
2010,Wife   ,79124,12150,43186,276,16966,6430,116
2009,Husband,37988,6493,13266,195,12530,5438,66
2009,Wife   ,75782,12096,41091,239,16305,5915,136
2008,Husband,40085,7328,13790,230,12999,5670,68
2008,Wife   ,81393,13437,43773,276,17254,6505,148
2007,Husband,40815,8058,13613,170,13278,5632,64
2007,Wife   ,87075,14997,47185,281,17907,6547,158
2006,Husband,41570,8801,13405,210,13264,5830,60
2006,Wife   ,90300,16062,48609,288,18432,6771,138
2005,Husband,44466,10049,13920,234,14116,6108,39
2005,Wife   ,96551,17864,51040,357,20178,7052,60
2004,Husband,47507,11767,14314,230,14980,6213,3
2004,Wife   ,105051,20167,54309,424,22464,7682,5
2003,Husband,46790,12147,13921,267,14559,5888,8
2003,Wife   ,105912,21090,54815,397,22284,7321,5
2002,Husband,44694,11849,13150,262,14037,5391,5
2002,Wife   ,102676,20980,53330,419,21439,6505,3
2001,Husband,44378,12073,12786,277,13834,5402,6
2001,Wife   ,98992,20766,51982,412,19869,5953,10
2000,Husband,42311,12227,11688,269,13261,4851,15
2000,Wife   ,98227,21083,51494,411,19559,5647,33
1999,Husband,43413,12896,11856,287,13574,4773,27
1999,Wife   ,100469,21688,52960,426,19908,5420,67
1998,Husband,42902,13708,11450,298,12945,4466,35
1998,Wife,101583,22611,53807,492,19449,5150,74
1997,Husband,43739,14734,11202,375,12936,4454,38
1997,Wife,102173,22858,53845,537,19702,5138,92
1996,Husband,46712,16067,11310,395,13916,4982,42
1996,Wife,109489,23945,57676,635,21506,5644,83
1995,Husband,45823,16282,11137,410,13391,4555,48
1995,Wife,108764,23896,57031,698,21639,5375,123
1994,Husband,44918,16576,10619,384,12800,4459,80
1994,Wife,112415,24873,60313,678,21196,5130,225
1993,Husband,46084,17859,10632,371,12693,4436,93
1993,Wife,118127,26607,63951,747,21451,5120,251
1992,Husband,44195,17992,10154,315,11323,4311,100
1992,Wife,115393,26136,63752,706,19672,4870,256
1991,Husband,43961,18353,9937,348,11006,4209,104
1991,Wife   ,113947,26380,63329,734,18407,4821,273
1990,Husband,42960,18143,9370,330,10754,4261,100
1990,Wife   ,109571,25893,60010,694,17955,4702,311
1989,Husband,42351,18289,8703,349,10638,4280,91
1989,Wife   ,107769,25742,58013,764,18168,4753,324
1988,Husband,42982,18719,8659,360,10672,4468,99
1988,Wife   ,108762,26779,57454,763,18539,4921,299
1987,Husband,42573,18989,7846,418,10790,4388,137
1987,Wife   ,107558,26944,55844,866,18830,4725,347
1986,Husband,43236,19016,7514,459,11492,4656,95
1986,Wife   ,109601,27000,55989,1015,20419,4828,339
1985,Husband,44333,19560,7030,581,12501,4566,88
1985,Wife   ,114779,27887,56867,1382,23252,4979,402
1984,Husband,40656,17614,5499,561,12100,4774,100
1984,Wife   ,102525,25370,47514,1462,22439,5370,362
1983,Husband,41228,18151,5243,678,12219,4820,110
1983,Wife   ,104876,25571,48849,1803,22850,5384,403
1982,Husband,41382,18010,4767,771,12831,4867,129
1982,Wife   ,103832,25267,47573,2104,22926,5531,422
1981,Husband,42085,18262,4343,873,13399,5072,124
1981,Wife   ,102170,25625,44482,2343,23348,5888,462
1980,Husband,43670,18340,4148,1087,14120,5753,202
1980,Wife   ,103242,25845,43129,2831,24195,6551,667
1979,Husband,41739,16974,3640,1144,13813,5924,225
1979,Wife   ,95768,23105,39137,2934,22981,6811,765
